,Instrument,Date,Total Return,Company Market Cap,Price Close
0,KO,2000-01-31T00:00:00Z,-1.39484978546901,141869508817.062,28.71875
1,KO,2000-02-29T00:00:00Z,-15.3427638736051,120222910668.125,24.3125
2,KO,2000-03-31T00:00:00Z,-3.09535071435059,116050650272.187,23.46875
3,KO,2000-04-28T00:00:00Z,0.665778960287588,116948122562.25,23.625
4,KO,2000-05-31T00:00:00Z,12.9629629618798,132108064375.875,26.6875
5,KO,2000-06-30T00:00:00Z,7.95398428121581,142163127823.687,28.71875
6,KO,2000-07-31T00:00:00Z,6.74646354743962,151865809674.187,30.65625
7,KO,2000-08-31T00:00:00Z,-14.1373618749562,130395990595.181,26.322265
8,KO,2000-09-29T00:00:00Z,5.05080014968013,136539902275.875,27.5625
9,KO,2000-10-31T00:00:00Z,9.52380952488738,149717305612.875,30.1875
10,KO,2000-11-30T00:00:00Z,4.01054776052709,155296832530.125,31.3125
11,KO,2000-12-29T00:00:00Z,-2.69461077815422,151112187342.187,30.46875
12,KO,2001-01-31T00:00:00Z,-4.82051282076862,143827804978.0,29.0
13,KO,2001-02-28T00:00:00Z,-8.56896551578823,131887547291.96,26.515
14,KO,2001-03-30T00:00:00Z,-14.5262217308349,112314569785.12,22.58
15,KO,2001-04-30T00:00:00Z,2.28077945074854,114891636466.5,23.095
16,KO,2001-05-31T00:00:00Z,2.61961463416207,117901354590.0,23.7
17,KO,2001-06-29T00:00:00Z,-4.69058432148178,111931665750.0,22.5
18,KO,2001-07-31T00:00:00Z,-0.88888889104477,110946796050.4,22.3
19,KO,2001-08-31T00:00:00Z,9.12556053626346,121071313089.08,24.335
20,KO,2001-09-28T00:00:00Z,-3.73946989986561,116543887779.4,23.425
21,KO,2001-10-31T00:00:00Z,2.19850586745138,119066677929.36,23.94
22,KO,2001-11-30T00:00:00Z,-1.54384177901869,116778847025.12,23.48
23,KO,2001-12-31T00:00:00Z,0.40459965957389,117251333842.3,23.575
24,KO,2002-01-31T00:00:00Z,-7.21102863298123,108796306587.5,21.875
25,KO,2002-02-28T00:00:00Z,8.31999999923232,117750661194.74,23.695
26,KO,2002-03-28T00:00:00Z,10.7363938790532,129851225027.159,26.13
27,KO,2002-04-30T00:00:00Z,6.21890547463351,137871299975.5,27.755
28,KO,2002-05-31T00:00:00Z,0.090073859901207,137995485978.0,27.78
29,KO,2002-06-28T00:00:00Z,1.16195109862232,139088322800.0,28.0
30,KO,2002-07-31T00:00:00Z,-10.8214285716562,123967435100.299,24.97
31,KO,2002-08-30T00:00:00Z,2.12254705490429,126598702245.0,25.5
32,KO,2002-09-30T00:00:00Z,-5.59272476069822,119052426660.2,23.98
33,KO,2002-10-31T00:00:00Z,-3.08590492188673,115229158435.439,23.24
34,KO,2002-11-29T00:00:00Z,-1.36886832990728,113146703764.92,22.82
35,KO,2002-12-31T00:00:00Z,-3.94390885294262,108684300899.52,21.92
36,KO,2003-01-31T00:00:00Z,-7.70985401312426,100304899963.38,20.23
37,KO,2003-02-28T00:00:00Z,-0.593178447240394,99385435209.04,20.11
38,KO,2003-03-31T00:00:00Z,1.22836881013029,100027906943.359,20.24
